name|symb|Cat_mcap|Cat_rank|Cat_price.USD|Cat_price.BTC|Cat_supply
Bitcoin|BTC|(1e+09,1.2e+11]|(0,10]|(1e+03,1e+04]|(0.05,1.01]|(1e+07,5e+07]
Ethereum|ETH|(1e+09,1.2e+11]|(0,10]|(100,500]|(0.05,1.01]|(1e+08,5e+08]
XRP|XRP|(1e+09,1.2e+11]|(0,10]|(0.25,0.5]|(5e-05,0.0001]|(1e+10,1e+12]
BitcoinCash|BCH|(1e+09,1.2e+11]|(0,10]|(500,1e+03]|(0.05,1.01]|(1e+07,5e+07]
EOS|EOS|(1e+09,1.2e+11]|(0,10]|(1,10]|(0.001,0.01]|(5e+08,1e+09]
Litecoin|LTC|(1e+09,1.2e+11]|(0,10]|(25,100]|(0.01,0.05]|(5e+07,1e+08]
Stellar|XLM|(1e+09,1.2e+11]|(0,10]|(0.1,0.25]|(1e-05,5e-05]|(1e+10,1e+12]
Cardano|ADA|(1e+09,1.2e+11]|(0,10]|(0.1,0.25]|(1e-05,5e-05]|(1e+10,1e+12]
IOTA|MIOTA|(1e+09,1.2e+11]|(0,10]|(1,10]|(0.0001,0.001]|(1e+09,1e+10]
NEO|NEO|(1e+09,1.2e+11]|(0,10]|(25,100]|(0.001,0.01]|(5e+07,1e+08]
Tether|USDT|(1e+09,1.2e+11]|(10,25]|(1,10]|(0.0001,0.001]|(1e+09,1e+10]
TRON|TRX|(1e+09,1.2e+11]|(10,25]|(0.03,0.1]|(5e-06,1e-05]|(1e+10,1e+12]
Monero|XMR|(1e+09,1.2e+11]|(10,25]|(100,500]|(0.01,0.05]|(1e+07,5e+07]
Dash|DASH|(1e+09,1.2e+11]|(10,25]|(100,500]|(0.01,0.05]|(0,1e+07]
EthereumClassic|ETC|(1e+09,1.2e+11]|(10,25]|(10,25]|(0.001,0.01]|(1e+08,5e+08]
NEM|XEM|(1e+09,1.2e+11]|(10,25]|(0.1,0.25]|(1e-05,5e-05]|(1e+09,1e+10]
