Overall,Round,Pick,Value
1,1,1,335.2
2,1,2,310
3,1,3,293.6
4,1,4,282
5,1,5,273.2
6,1,6,268
7,1,7,261.4
8,1,8,257.2
9,1,9,252.6
10,1,10,249.4
11,1,11,241.6
12,1,12,237.2
13,2,1,233.4
14,2,2,229.4
15,2,3,226.4
16,2,4,222.6
17,2,5,219.8
18,2,6,217
19,2,7,212.8
20,2,8,210.2
21,2,9,206.6
22,2,10,204.8
23,2,11,201.6
24,2,12,198.8
25,3,1,194.8
26,3,2,192
27,3,3,190.6
28,3,4,188
29,3,5,184.2
30,3,6,182.4
31,3,7,180
32,3,8,176.8
33,3,9,174.8
34,3,10,173.6
35,3,11,172
36,3,12,168.4
37,4,1,166.6
38,4,2,164.6
39,4,3,162.4
40,4,4,159
41,4,5,156.6
42,4,6,154.8
43,4,7,153.2
44,4,8,150.4
45,4,9,147.4
46,4,10,145.4
47,4,11,143.4
48,4,12,141.8
49,5,1,138.4
50,5,2,136.8
51,5,3,134.2
52,5,4,132.2
53,5,5,130.2
54,5,6,128.4
55,5,7,126.2
56,5,8,124.8
57,5,9,123
58,5,10,121.4
59,5,11,120.4
60,5,12,118
61,6,1,116
62,6,2,114.2
63,6,3,112.4
64,6,4,110.6
65,6,5,109.2
66,6,6,107
67,6,7,104.4
68,6,8,102.6
69,6,9,101.2
70,6,10,99
71,6,11,97.4
72,6,12,95.4
73,7,1,93.2
74,7,2,91.6
75,7,3,90
76,7,4,89
77,7,5,88
78,7,6,87
79,7,7,86
80,7,8,85
81,7,9,84
82,7,10,83
83,7,11,82
84,7,12,81
85,8,1,80
86,8,2,79
87,8,3,78
88,8,4,77
89,8,5,76
90,8,6,75
91,8,7,74
92,8,8,73
93,8,9,72
94,8,10,71
95,8,11,70
96,8,12,69
97,9,1,68
98,9,2,67
99,9,3,66
100,9,4,65
101,9,5,64
102,9,6,63
103,9,7,62
104,9,8,61
105,9,9,60
106,9,10,59
107,9,11,58
108,9,12,57
109,10,1,56
110,10,2,55
111,10,3,54
112,10,4,53
113,10,5,52
114,10,6,51
115,10,7,50
116,10,8,49
117,10,9,48
118,10,10,47
119,10,11,46
120,10,12,45
121,11,1,44
122,11,2,43
123,11,3,42
124,11,4,41
125,11,5,40
126,11,6,39
127,11,7,38
128,11,8,37
129,11,9,36
130,11,10,35
131,11,11,34
132,11,12,33
133,12,1,32
134,12,2,31
135,12,3,30
136,12,4,29
137,12,5,28
138,12,6,27
139,12,7,26
140,12,8,25
141,12,9,24
142,12,10,23
143,12,11,22
144,12,12,21
145,13,1,20
146,13,2,19
147,13,3,18
148,13,4,17
149,13,5,16
150,13,6,15
151,13,7,14
152,13,8,13
153,13,9,12
154,13,10,11
155,13,11,10
156,13,12,9
157,14,1,8
158,14,2,7
159,14,3,6
160,14,4,5
161,14,5,4
162,14,6,3
163,14,7,2
164,14,8,1
