"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"Todd Gurley","RB","LAR",2552475,1994-08-03,371.125,371.125,371.125,,1,14.95,1,213.483333333333,1,1.63666666666667,45.275,-0.636666666666666,3,,,,
"David Johnson","RB","ARI",2553435,1991-12-16,364.35,364.35,364.35,,2,33.2375,1,206.708333333333,2,4.3475,46.4566666666667,-2.3475,3,,,,
"LeVeon Bell","RB","PIT",2540175,1992-02-18,348,348,348,,3,41.3125,0,190.358333333333,3,2.3525,49.9566666666667,0.6475,5,,,,
"Alvin Kamara","RB","NO",2558019,1996-06-25,314.225,314.225,314.225,,4,25.7125,0,156.583333333333,4,6.72,43.65,-2.72,1,,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,331.75,331.75,331.75,,1,12.8125,1,142.166666666667,5,5.585,47.0966666666667,-0.585,8,,,,
"Ezekiel Elliott","RB","DAL",2555224,1995-07-22,299.15,299.15,299.15,,5,22.8,0,141.508333333333,6,3.6625,49.6466666666667,2.3375,2,,,,
"Julio Jones","WR","ATL",2495454,1989-02-03,321.625,321.625,321.625,,2,10.0125,1,132.041666666667,7,10.532,37.8733333333333,-3.532,7,,,,
"Rob Gronkowski","TE","NE",497240,1989-05-14,277.5,277.5,277.5,,1,38.6875,1,127.75,8,17.684,25.67,-9.684,8,,,,
"DeAndre Hopkins","WR","HOU",2540165,1992-06-06,316.25,316.25,316.25,,3,19.0125,1,126.666666666667,9,7.036,41.7033333333333,1.964,5,,,,
"Kareem Hunt","RB","KC",2557917,1995-08-06,277.875,277.875,277.875,,6,6.95000000000005,0,120.233333333333,10,11.1825,39.0766666666667,-1.1825,1,,,,
"Odell Beckham","WR","NYG",2543496,1992-11-05,306.975,306.975,306.975,,4,23.35,1,117.391666666667,11,8.368,39.92,2.632,4,,,,
"Melvin Gordon","RB","LAC",2552469,1993-04-13,274.825,274.825,274.825,,7,13.9375,0,117.183333333333,12,9.528,36.7333333333333,2.472,3,,,,
